topic,answer,question
Choreo Marketplace Overview,"You have several ways to discover services within the marketplace. You can use the main search bar to search for text within the service's name, labels, or content (overview, summary, documentation). Alternatively, you can use the filtering panel on the left side. Here, you can filter services based on their **Type** (whether they are ""Internal"" services deployed within the platform or ""Third-party"" services added externally) or their **Network Visibility** level (""Public,"" ""Organization,"" or ""Project"").

    Once you click on a service card to view its details, you'll see a dedicated page with information organized into four tabs:
    *   **Overview:** This tab provides a general description of the service, if the developer has provided one.
    *   **API definition:** If the service has a defined API contract (like OpenAPI), you'll find the definition here, typically extracted from the source configuration file.
    *   **How to use:** This section contains instructions on how to consume or integrate with the service, including details on establishing connections.
    *   **Related documents:** Any additional documentation provided by the service developer will be available in this tab.","I'm looking for a specific service in the platform's marketplace. What are the different ways I can find it, and once I find a service, what kind of details can I expect to see about it?"
Choreo Marketplace Overview,"Yes, the marketplace handles this scenario automatically and intelligently based on semantic versioning.

    1.  **Marketplace Display:** The marketplace primarily displays services by their major version. So, even when `InventoryAPI` is updated from `v1.2` to `v1.3`, the marketplace will still show a single entry for `InventoryAPI` with the version `v1`. This `v1` entry will automatically update to represent the latest available version within that major release, which is now `v1.3`.
    2.  **Automatic Routing for Dependencies:** When your `OrderProcessor` component connects to `InventoryAPI` `v1` via a connection, the platform uses semantic-version-based intelligent routing. This means traffic from `OrderProcessor` is automatically directed to the *latest* deployed version of `InventoryAPI` within the `v1` major release. So, when `v1.3` is deployed, your `OrderProcessor` component's traffic will automatically be routed to the `v1.3` instance of `InventoryAPI` without requiring any manual changes or redeployment of `OrderProcessor`. This ensures your dependent components always use the most recent, backward-compatible updates.","I have a component, let's call it `OrderProcessor`, that needs to use a service from the marketplace called `InventoryAPI`. I've created a connection to `InventoryAPI` which is currently available as version `v1` (specifically `v1.2`). If the team managing `InventoryAPI` deploys a new, backward-compatible minor version, say `v1.3`, how will this update appear in the marketplace, and will my `OrderProcessor` component automatically start using the new `v1.3` version?"
Discovering Services in Marketplace (Search & Filter),"The Marketplace offers two main methods to help you efficiently discover and narrow down the list of available services: Search and Filter.

    *   **Search:** You can use the search bar at the top of the Marketplace interface. This allows you to search for text across several attributes of the services:
        *   **Name:** Searches the service's official name.
        *   **Label:** Looks for services with specific labels assigned to them.
        *   **Content:** Searches within the service's overview, summary, and documentation.
        *   **All:** Searches across all the above attributes simultaneously.
        Using search is great when you know part of the service name, a label it uses, or keywords from its description or documentation.

    *   **Filter:** The left-hand side panel provides filtering options based on specific criteria. This is useful for categorizing services based on their characteristics:
        *   **Type:** You can filter services by their origin or hosting location: ""Internal"" for services deployed within the platform, or ""Third-party"" for externally running services added to the Marketplace.
        *   **Network Visibility:** You can filter based on who the service is exposed to: ""Public"" (exposed externally), ""Organization"" (exposed across your entire organization), or ""Project"" (exposed only within the service's project).
        Filters are effective when you know the general category or intended audience/scope of the service you need.

    By combining searching and filtering, you can quickly navigate through potentially large numbers of services to find the one that meets your requirements.","I'm trying to find a specific service in the Marketplace, but there are many services listed. What are the primary ways I can efficiently locate the service I'm looking for?"
Discovering Services in Marketplace (Search & Filter),"To find services that are internal to your organization and have restricted visibility, you should leverage the filtering capabilities available in the Marketplace.

    Here's how you can use the filters to achieve this:

    1.  **Open the Marketplace:** Navigate to the service Marketplace.
    2.  **Locate the Filter Panel:** Look for the filtering options typically found on the left-hand side.
    3.  **Apply the 'Type' Filter:** Under the 'Type' filter attribute, select the ""Internal"" option. This will narrow down the list to include only services that have been deployed within your platform environment.
    4.  **Apply the 'Network Visibility' Filter:** Under the 'Network Visibility' filter attribute, select the ""Organization"" option. This will further refine the list to only show services that are exposed across your entire organization, excluding those exposed publicly or restricted solely to their project.

    By applying both the ""Internal"" type filter and the ""Organization"" network visibility filter, the Marketplace will display only those services that match your criteria: developed and running internally, and accessible throughout your organization but not publicly. You can then browse the resulting list or optionally use the search bar (e.g., searching by name or label) to find a specific service within this filtered set.","Our team needs to find services that are developed internally by our organization and are only meant to be consumed by other services within our organization, not publicly or by other projects. How can I use the discovery features to specifically find these types of services?"
Exploring Service Details in Marketplace,"When trying to find a specific service among many in the marketplace, you have two primary methods to help you discover it efficiently:

    *   **Searching:** You can use the top search bar to look for services. This search is quite versatile and allows you to search based on different attributes of the service:
        *   By its **Name**.
        *   By its **Label**.
        *   By its **Content**, which includes the service's overview, summary, and documentation.
        *   Or you can search **All** of the above criteria simultaneously.
    *   **Filtering:** On the left-hand side, there's a filter panel that lets you narrow down the list based on specific characteristics:
        *   Filter by **Type**: You can choose to see ""Internal"" services (deployed within the platform) or ""Third-party"" services (running externally but added to the marketplace).
        *   Filter by **Network Visibility**: You can filter services based on who they are exposed to: ""Public"" (exposed publicly), ""Organization"" (exposed across the entire organization), or ""Project"" (exposed only within the specific project).

    Once you find a service and click on its card, you'll open a detailed view. The header of this detailed page will show the service name, summary, version, labels, and its icon. The main content is organized into four tabs, providing comprehensive information:

    *   **Overview:** This tab contains a general description of the service provided by the developer. If no overview was provided during service creation, this section will be empty.
    *   **API definition:** Here you'll find the service's API contract, typically extracted from a configuration file like `component.yaml` in the service's repository. If there's no API definition available, this tab will also be empty.
    *   **How to use:** This section provides instructions on how to consume or utilize the service, including steps for creating a connection to it.
    *   **Related documents:** Any additional documentation or content that the service publisher has uploaded through the component's management section will be available here.

    By using these search and filter capabilities, you can quickly locate the services relevant to your needs and then explore their detailed information to understand their purpose and how to integrate with them.","I'm looking for a specific service in the marketplace, but there are many listed. What are the best ways to find the one I need, and once I click on it, what kind of details can I expect to see about that service?"
Exploring Service Details in Marketplace,"Yes, the platform employs a semantic-version-based intelligent routing mechanism designed specifically for this scenario to ensure your dependencies remain up-to-date within the same major version without manual intervention.

    Here's how it works based on the platform's service versioning:

    1.  **Marketplace Version Display:** Services in the marketplace are displayed using their major version format. For instance, if a service has versions `v1.0`, `v1.1`, `v1.2`, and `v2.0`, the marketplace will show `v1` and `v2`. The `v1` entry represents the latest version within the `v1` major release line (e.g., `v1.2`), and `v2` represents the latest in the `v2` line (e.g., `v2.0`).
    2.  **Connecting to a Major Version:** When you create a connection from your component (let's call it `Foo`) to a service from the marketplace (let's call it `Bar`), you connect to a specific major version displayed (e.g., `Bar` version `v1`).
    3.  **Intelligent Routing:** At runtime, the platform automatically routes traffic from your component (`Foo`) to the *latest* deployed version of `Bar` within the `v1` major version range. So, if the latest available `v1` version is `v1.2`, `Foo` will connect to `Bar` `v1.2`.
    4.  **Automatic Updates within Major Version:** If the service publisher later deploys a new minor or patch version within the same major release line (e.g., they deploy `Bar` `v1.3`), the platform automatically updates the routing. Traffic from your component (`Foo`) will then seamlessly and automatically be directed to the newly deployed `Bar` `v1.3`.

    This intelligent routing ensures that as long as the service publisher releases backward-compatible updates (minor or patch versions) within the major version you initially connected to, your consuming application will automatically benefit from the latest features, fixes, and performance improvements without requiring you to change your connection configuration or redeploy your application. You would only need to update your connection if you wanted to move to a new major version (e.g., from `v1` to `v2`), which typically involves breaking changes.","If I integrate my application with a service I found in the marketplace, how does the platform handle updates to that service? For example, if I'm using version 'v1' and the service publisher releases 'v1.3' after I connected to 'v1.2', will my application automatically start using 'v1.3'?"
Adding Choreo Services to Marketplace,"When you deploy a Choreo service component to its initial environment, it is automatically added to the Marketplace. The platform identifies each network-exposed function (an endpoint) within your service component and creates a separate entry in the Marketplace for each one. Choreo automatically extracts and uses several essential details from your deployment to generate these entries:

    *   **Service Name:** This is automatically generated using the convention `component name - endpoint name`.
    *   **Description:** The description provided for the component or endpoint is included.
    *   **Service Definitions:** Any API definitions (like OpenAPI) found in your `component.yaml` file for the endpoint are included in the service entry.
    *   **Other Details:** Essential information like the component name, endpoint name, version (major version format), and network visibility are also captured during deployment and displayed.

    Essentially, the first successful deployment of a service component is the trigger for its corresponding endpoints to appear as reusable services in the Marketplace, populating the initial information automatically. Any subsequent redeployments will automatically update details like definitions, visibility, and descriptions.","I've just deployed my first service component. How does my service automatically appear in the Marketplace, and what details about it are included without me having to manually add them?"
Adding Choreo Services to Marketplace,"The Marketplace displays service versions in their major version format, representing the latest version within that major range.

    Based on your deployments:
    *   The Marketplace will show an entry for **v1** of your 'UserService'. This entry will represent the **v1.2** version, as it's the latest within the v1 major version range.
    *   The Marketplace will also show an entry for **v2** of your 'UserService'. This entry will represent the **v2.0** version.

    When another internal service is configured to use 'UserService' version **v1** from the Marketplace (typically done via a Connection), it utilizes a feature called semantic-version-based intelligent routing. This means:
    *   Initially, the dependent service connected to 'UserService' v1 will automatically route traffic to **v1.2** because it's the latest version available within the v1 major range.
    *   If you subsequently deploy **v1.3** of 'UserService', the Marketplace entry for v1 will automatically update to represent v1.3, and the dependent service connected to v1 will automatically start routing traffic to **v1.3** without needing any manual configuration changes in the dependent service component.

    This intelligent routing ensures that consumers of a major version always use the latest backward-compatible updates (minor and patch versions) without manual intervention, while major version changes (`v2.0` in your case) are treated as distinct services in the Marketplace, requiring consumers to explicitly connect to the new major version if they need its features or are ready to handle breaking changes.","My team frequently updates our core 'UserService'. We currently have versions `v1.0`, `v1.1`, `v1.2`, and we've just deployed `v2.0` which has breaking changes. How will these versions be represented in the Marketplace, and if another internal service in our organization is configured to use 'UserService' version v1, will it automatically start using v1.2 or stick to v1.0? What happens when we deploy v1.3 later?"
Service Versioning in Marketplace,"In the service marketplace, versions are displayed based on their major version number. This means that a single entry like ""Service ABC v1"" represents all versions within the major version 1 range (v1.x.y). Crucially, this entry specifically points to and allows you to use the *latest* version of `Service ABC` that has been deployed within the `v1` major version.

    So, if you have deployed `v1.0`, `v1.1`, and `v1.2` of `Service ABC`, the marketplace will show ""Service ABC v1"". When you interact with or depend on ""Service ABC v1"", you are automatically using the latest deployed version within that major range, which in this case would be `v1.2`. If you later deploy `v1.3`, the ""Service ABC v1"" entry will automatically update to represent `v1.3` as the latest. This approach simplifies discovery and dependency management by focusing on major version compatibility.","I see different versions of services listed in the marketplace, but they only show a major version number, like ""Service ABC v1"" or ""Service XYZ v2"". If my service `Service ABC` has multiple minor or patch versions deployed (e.g., `v1.0`, `v1.1`, `v1.2`), how does the marketplace represent these, and which specific version am I interacting with when I use ""Service ABC v1""?"
Service Versioning in Marketplace,"No, you do not need to manually update your `PaymentService` component or its connection configuration when `UserService` is updated from `v1.1` to `v1.2`. This is a key benefit of how the marketplace handles service dependencies and versioning.

    Here's why:
    1.  **Marketplace Entry Update:** When the `UserService` team deploys the new `v1.2` version, the marketplace entry for `UserService v1` automatically updates to reflect `v1.2` as the latest available version within the v1 major range.
    2.  **Intelligent Routing:** Your `PaymentService` component, which created a connection depending on `UserService v1` from the marketplace, leverages a semantic-version-based intelligent routing mechanism. This mechanism automatically directs the traffic from your `PaymentService` to the latest available version within the declared major version.
    3.  **Automatic Switch:** Since `v1.2` is now the latest version within the `v1` major range, the runtime environment will automatically route requests from your `PaymentService` to the newly deployed `UserService v1.2`.

    This process ensures that your `PaymentService` always consumes the most up-to-date, backward-compatible version of `UserService` within the `v1` major version without requiring any intervention on your part. This significantly simplifies maintenance and ensures your consuming services benefit from minor updates and bug fixes automatically.","My component, `PaymentService`, relies on another service, `UserService`, for customer data. I've set up a connection in my project to consume `UserService` using its `v1` entry from the marketplace. If the team managing `UserService` deploys a new backward-compatible update, changing the version from `v1.1` to `v1.2`, do I need to manually update my `PaymentService` component or its connection configuration to start using the `v1.2` version?"
