question,answer,source
What is the primary purpose of the Choreo Marketplace?,The Choreo Marketplace primarily promotes and facilitates the reusing and sharing of services. It allows users to share all services deployed in Choreo.,docs\choreo-concepts\choreo-marketplace.md/Choreo Marketplace
What capabilities does the Choreo Marketplace offer to users regarding services?,"The Choreo Marketplace allows users to easily browse and search for available services. Additionally, users can refer to service definitions, documentation, and instructions on how to use a service within the Marketplace.",docs\choreo-concepts\choreo-marketplace.md/Choreo Marketplace
Why is effective discoverability important in the Choreo Marketplace?,"Effective discoverability is desirable in the Choreo Marketplace because it includes all services deployed in an organization, which may be a large number of services.",docs\choreo-concepts\choreo-marketplace.md/Discover services
What are the two primary methods available for discovering services in the Choreo Marketplace?,The two primary methods available for discovering services in the Choreo Marketplace are using the search bar and applying various filter criteria.,docs\choreo-concepts\choreo-marketplace.md/Discover services
Where is the search bar located in the Choreo Marketplace?,The search bar is located at the top of the Choreo Marketplace interface.,docs\choreo-concepts\choreo-marketplace.md/Discover services
What search attributes can users utilize when searching for services in the Choreo Marketplace?,"Users can utilize the following search attributes when searching for services in the Choreo Marketplace: Name, Label, Content, and All.",docs\choreo-concepts\choreo-marketplace.md/Discover services
"Describe what each search attribute (Name, Label, Content, All) allows users to search for.","The search attributes allow users to search for text in specific areas:
- **Name**: Searches within the service name.
- **Label**: Searches within the service labels.
- **Content**: Searches within the service content, including the overview, summary, and documentation.
- **All**: Searches across all the above criteria (Name, Label, and Content).",docs\choreo-concepts\choreo-marketplace.md/Discover services
Where is the filtering capability located in the Choreo Marketplace?,The filtering capability in the Choreo Marketplace is provided through the left-hand side filter panel.,docs\choreo-concepts\choreo-marketplace.md/Discover services
What are the main filter attributes available in the Choreo Marketplace?,The main filter attributes available in the Choreo Marketplace are 'Type' and 'Network Visibility'.,docs\choreo-concepts\choreo-marketplace.md/Discover services
"Explain the 'Type' filter attribute, including its available options and what each option signifies.","The 'Type' filter attribute enables users to categorize services based on their origin, with two available options:
- **Internal**: Refers to services deployed within Choreo.
- **Third-party**: Refers to services running externally to Choreo, which have been independently added to the Marketplace.",docs\choreo-concepts\choreo-marketplace.md/Discover services
"Explain the 'Network Visibility' filter attribute, including its available choices and what each choice represents.","The 'Network Visibility' filter attribute enables users to categorize services based on their network exposure level, with three choices:
- **Public**: Filters services that are exposed publicly.
- **Organization**: Represents services exposed across the entire organization.
- **Project**: Represents services exposed at the project level.",docs\choreo-concepts\choreo-marketplace.md/Discover services
How can a user access the detailed view of a service in the Choreo Marketplace?,A user can access the detailed view of a service by clicking on the service card.,docs\choreo-concepts\choreo-marketplace.md/Explore a service
What information is displayed in the header of the detailed service page?,"The header of the detailed service page features the service name, summary, version, labels, and service icon.",docs\choreo-concepts\choreo-marketplace.md/Explore a service
How many tabs organize the service content in the detailed service page?,The service content in the detailed service page is organized into four tabs.,docs\choreo-concepts\choreo-marketplace.md/Explore a service
Describe the content found under the 'Overview' tab and specify the condition under which this section might be disabled.,The 'Overview' tab displays the service overview content provided by the service developer. This section will be disabled if the service developer has not provided any content at the time of service creation. Service developers can provide this content via the Manage → Marketplace section of the component.,docs\choreo-concepts\choreo-marketplace.md/Explore a service
"Describe the content found under the 'API definition' tab, including its source and what happens if an API definition is not provided.","The 'API definition' tab includes the API definition for the service, which is extracted from the `component.yaml` file in the user repository. If an API definition is not provided, this tab will be empty.",docs\choreo-concepts\choreo-marketplace.md/Explore a service
Describe the content found under the 'How to use' tab.,The 'How to use' tab includes instructions on how to use the selected service. This also includes instructions on creating a connection.,docs\choreo-concepts\choreo-marketplace.md/Explore a service
Describe the content found under the 'Related documents' tab.,The 'Related documents' tab includes any additional content the user has provided as documents through the Manage -> Marketplace section of the component.,docs\choreo-concepts\choreo-marketplace.md/Explore a service
What type of services can be added to the Choreo Marketplace?,Services can be added to the Marketplace as Choreo services.,docs\choreo-concepts\choreo-marketplace.md/Add a service to the Choreo Marketplace
What is a 'Choreo service' in the context of the Choreo Marketplace?,"In Choreo, a service exposed through the platform is termed a Choreo service, with each service being identifiable by an endpoint within a Choreo service component.",docs\choreo-concepts\choreo-marketplace.md/Add a service to the Choreo Marketplace
How is a Choreo service identifiable within the Marketplace?,"The Marketplace showcases a service for each endpoint within a service component, making each service identifiable by its endpoint.",docs\choreo-concepts\choreo-marketplace.md/Add a service to the Choreo Marketplace
When are Choreo services automatically added to the Marketplace?,"Upon deployment to the initial environment, Choreo services get automatically added to the Marketplace.",docs\choreo-concepts\choreo-marketplace.md/Add a service to the Choreo Marketplace
What essential details does Choreo automatically collect during deployment to generate service entries in the Marketplace?,"During deployment, Choreo effortlessly collects essential details such as the component name, endpoint name, description, and service definitions. These details are then utilized to generate the corresponding service entries in the Marketplace.",docs\choreo-concepts\choreo-marketplace.md/Add a service to the Choreo Marketplace
What is the naming convention for a service in the Marketplace that is derived from a Choreo service component?,The service name in the Marketplace follows the convention of `component name - endpoint name`.,docs\choreo-concepts\choreo-marketplace.md/Add a service to the Choreo Marketplace
How are service versions displayed in the Choreo Marketplace?,"In the Choreo Marketplace, service versions are displayed in their major version format.",docs\choreo-concepts\choreo-marketplace.md/Service versioning in the Choreo Marketplace
What does each service entry in the Choreo Marketplace represent concerning its major version?,"Each service in the Choreo Marketplace represents the latest version of the service within its major version, following semantic versioning principles.",docs\choreo-concepts\choreo-marketplace.md/Service versioning in the Choreo Marketplace
Provide an example to illustrate how service versions are displayed and represented in the Choreo Marketplace.,"For example, if a Choreo service has versions `v1.0`, `v1.1`, `v1.2`, and `v2.0`, the Choreo Marketplace displays services with versions `v1` and `v2`. These displayed versions `v1` and `v2` represent the latest versions `v1.2` and `v2.0` respectively.",docs\choreo-concepts\choreo-marketplace.md/Service versioning in the Choreo Marketplace
How does the Marketplace update when a new minor version of an already deployed service is released?,"When a new minor version of a service already deployed in Choreo is released, the corresponding service in the marketplace automatically updates to reflect the latest version within the same major version.",docs\choreo-concepts\choreo-marketplace.md/Service versioning in the Choreo Marketplace
