question,answer,source
What is the primary purpose of the Choreo Marketplace?,"The Choreo Marketplace promotes and facilitates reusing and sharing services, allowing users to share all services deployed in Choreo.",docs\choreo-concepts\choreo-marketplace.md/Choreo Marketplace Introduction
What functionalities does the Choreo Marketplace offer to its users?,"Users can easily browse and search available services, refer to service definitions, documentation, and instructions on how to use them.",docs\choreo-concepts\choreo-marketplace.md/Choreo Marketplace Introduction
Why is effective discoverability important in the Choreo Marketplace?,"Effective discoverability is desirable because the Marketplace includes all services deployed in an organization, which can be a large number.",docs\choreo-concepts\choreo-marketplace.md/Discover Services
How can users discover services in the Choreo Marketplace?,Users can discover services by using the top search bar or by applying various filter criteria through the left-hand side filter panel.,docs\choreo-concepts\choreo-marketplace.md/Discover Services
What search attributes are available for universal searching in the Choreo Marketplace?,"Users can search for text in the following attributes: Name (service name), Label (service labels), Content (overview, summary, and documentation), or All (all of the above criteria).",docs\choreo-concepts\choreo-marketplace.md/Discover Services
What are the two available options for the 'Type' filter in the Choreo Marketplace and what do they represent?,"The two options are 'Internal,' referring to services deployed within Choreo, and 'Third-party,' referring to services running externally to Choreo but independently added to the Marketplace.",docs\choreo-concepts\choreo-marketplace.md/Discover Services
What are the network visibility levels available for filtering services in the Choreo Marketplace?,"The three network visibility levels are 'Public' (services exposed publicly), 'Organization' (services exposed across the entire organization), and 'Project' (services exposed at the project level).",docs\choreo-concepts\choreo-marketplace.md/Discover Services
How can a user explore a service in detail within the Choreo Marketplace?,Users can click on the service card to open the detailed view of the service.,docs\choreo-concepts\choreo-marketplace.md/Explore a service
What information is featured in the header of the detailed service page?,"The header of the detailed service page features the service name, summary, version, labels, and service icon.",docs\choreo-concepts\choreo-marketplace.md/Explore a service
What content is displayed under the 'Overview' tab of a service's detailed view?,"The 'Overview' tab displays the service overview provided by the service developer. If no content was provided at service creation, this section will be disabled.",docs\choreo-concepts\choreo-marketplace.md/Explore a service
Where does the API definition for a service in the Marketplace come from?,"The API definition is extracted from the `component.yaml` file in the user repository. If an API definition is not provided, this tab will be empty.",docs\choreo-concepts\choreo-marketplace.md/Explore a service
What kind of information is included in the 'How to use' tab of a service's detailed view?,"The 'How to use' tab includes instructions on how to use the selected service, including instructions on creating a connection.",docs\choreo-concepts\choreo-marketplace.md/Explore a service
What content is available in the 'Related documents' tab?,The 'Related documents' tab includes any additional content the user has provided as documents through the Manage -> Marketplace section of the component.,docs\choreo-concepts\choreo-marketplace.md/Explore a service
What is considered a 'Choreo service' in the context of the Choreo Marketplace?,"In Choreo, a service exposed through the platform is termed a Choreo service, with each service identifiable by an endpoint within a Choreo service component.",docs\choreo-concepts\choreo-marketplace.md/Add a service to the Choreo Marketplace
When do Choreo services get automatically added to the Marketplace?,"Upon deployment to the initial environment, services automatically get added to the Marketplace.",docs\choreo-concepts\choreo-marketplace.md/Add a service to the Choreo Marketplace
How is the service name derived for entries in the Choreo Marketplace?,"The service name follows the convention of `component name - endpoint name`, while all other details remain unchanged.",docs\choreo-concepts\choreo-marketplace.md/Add a service to the Choreo Marketplace
