question,answer,source,topic
What is the Choreo Marketplace and what is its main purpose?,"The Choreo Marketplace is a platform designed to promote and facilitate the reuse and sharing of services. It allows you to share all services deployed in Choreo, and easily browse, search, and refer to service definitions, documentation, and instructions on how to use them.",docs\choreo-concepts\choreo-marketplace.md/Choreo Marketplace,Choreo Marketplace
How can I find specific services within the Choreo Marketplace?,"You can discover services in the Choreo Marketplace using either the top search bar or by applying various filter criteria. The search bar allows universal searching, while the left-hand side filter panel provides specific filtering options.",docs\choreo-concepts\choreo-marketplace.md/Discover services,Discover services
What search criteria can I use to look for services in the Marketplace?,"When using the top search bar in the Choreo Marketplace, you can search for text within the following attributes: the service **Name**, **Label**s, **Content** (which includes the overview, summary, and documentation), or you can select **All** to search across all these criteria simultaneously.",docs\choreo-concepts\choreo-marketplace.md/Discover services - Search,Discover services - Search
What are the filtering options available in the Choreo Marketplace?,"The Choreo Marketplace provides filtering capabilities through its left-hand side filter panel. You can filter services by:
- **Type**: Choose between ""Internal"" (services deployed within Choreo) and ""Third-party"" (services running externally but independently added to the Marketplace).
- **Network Visibility**: Select from ""Public"" (services exposed publicly), ""Organization"" (services exposed across the entire organization), or ""Project"" (services exposed at the project level).",docs\choreo-concepts\choreo-marketplace.md/Discover services - Filter,Discover services - Filter
What kind of information can I see when I explore a service in detail?,"When you click on a service card to open its detailed view, you'll see the service name, summary, version, labels, and service icon in the header. The service content is further organized into four tabs:
- **Overview**: Displays the service overview provided by the service developer.
- **API definition**: Includes the API definition for the service, extracted from the `component.yaml` file.
- **How to use**: Provides instructions on how to use the selected service, including how to create a connection.
- **Related documents**: Includes any additional content the user has provided as documents through the Manage -> Marketplace section of the component.",docs\choreo-concepts\choreo-marketplace.md/Explore a service,Explore a service
How do services get added to the Choreo Marketplace?,"Choreo services are automatically added to the Marketplace upon their initial deployment to any environment. During this deployment, Choreo effortlessly collects essential details such as the component name, endpoint name, description, and service definitions, using them to generate the corresponding service entries. The service name in the Marketplace follows the convention of `component name - endpoint name`.",docs\choreo-concepts\choreo-marketplace.md/Add a service to the Choreo Marketplace - Add a Choreo service,Add a service to the Choreo Marketplace - Add a Choreo service
How does service versioning work in the Choreo Marketplace?,"In the Choreo Marketplace, service versions are displayed in their major version format (e.g., `v1`, `v2`). Each service entry represents the *latest* version of the service within its major version, following semantic versioning principles. For example, if you have `v1.0`, `v1.1`, and `v1.2`, the Marketplace will display `v1` representing `v1.2`. When a new minor version of an already deployed service is released, the corresponding service in the Marketplace automatically updates to reflect this latest version within the same major version.",docs\choreo-concepts\choreo-marketplace.md/Service versioning in the Choreo Marketplace,Service versioning in the Choreo Marketplace
"If I connect to a service from the Marketplace, how does it handle new minor versions?","When you use a service from the Choreo Marketplace as a dependency, the dependent service's traffic is automatically routed to the latest version of the corresponding service within the same major version. This semantic-version-based intelligent routing ensures that your dependencies remain up-to-date without requiring manual updates within a major version. For instance, if you connect to `Bar` v1, and `Bar` v1.3 is subsequently released, traffic from your component will automatically route to `Bar` v1.3.",docs\choreo-concepts\choreo-marketplace.md/Service versioning in the Choreo Marketplace - Semantic-version-based intelligent routing,Service versioning in the Choreo Marketplace - Semantic-version-based intelligent routing
Can I edit or update service information in the Choreo Marketplace?,"Yes, you can edit services in the Choreo Marketplace. During redeployment to any environment, Choreo automatically updates service definitions, network visibility settings, and descriptions in the Marketplace.",docs\choreo-concepts\choreo-marketplace.md/Edit services in the Choreo Marketplace,Edit services in the Choreo Marketplace
What is Choreo's approach to CI/CD?,"Choreo provides a streamlined continuous integration and continuous deployment (CI/CD) experience designed to efficiently deploy applications and services across multiple environments. It emphasizes an isolated environment setup for each project, where all components within that project share the same environments.",docs\choreo-concepts\ci-cd.md/CI/CD,CI/CD
